S,B,is_validation,oom,latency_s,latency_min_s,latency_p90_s,latency_iters,latency_loop_s,memory_bytes,memory_bytes_warm,memory_base_bytes,energy_j,energy_iters,energy_window_s,mean_power_w,sm_clock_mhz,mem_clock_mhz,gpu_temp_c,flops_profiler,elapsed_s
48,95,1,0,0.0006681983359158039,0.0006457120180130005,0.0006702705752104521,300,0.0006700613404791835,30852096,30852096,16381952,0.21436720142894675,2244,1.5036176480352879,319.92175712696024,1845,9501,65,3906570240,1.73
48,98,1,0,0.0006756829097867012,0.0006573009304702282,0.0006777360569685698,300,0.0006834285542765089,31073280,31073280,16464896,0.21672374943507153,2219,1.5165279619395733,317.1125175834943,1830,9501,66,4029935616,1.75
48,128,1,0,0.000784937059506774,0.0007475889287889004,0.0007871661335229873,300,0.0007871015931123683,36168704,36168704,17294336,0.2547884816742692,1910,1.5033640428446233,323.70469568836853,1785,9501,66,5263589376,1.76
48,167,1,0,0.0009924701880663633,0.0009651877917349339,0.0009944649878889321,300,0.0009952008583682171,43538432,43538432,18372608,0.32061085373182946,1511,1.5037484969943762,322.1569304688097,1830,9501,66,6867339264,1.83
48,256,1,0,0.0013655279763042927,0.0012899227440357208,0.0013693205080926418,300,0.0013687801475251579,58582016,58582016,20833280,0.43737340619438114,1098,1.5029206019826233,319.5351766207161,1755,9501,66,10527178752,1.95
64,1,0,0,0.0004749186336994171,0.00047009624540805817,0.00048082228749990463,300,0.0004761007725319544,32777216,32777216,13804544,0.08797561748164451,3158,1.503526239655912,184.78360581895475,1935,9501,60,72861696,1.67
64,2,0,0,0.0004705851897597313,0.0004653641954064369,0.00047736857086420057,300,0.00047435581737882037,32924672,32924672,13853696,0.0985657357995623,3187,1.5117719899863005,207.78860970697815,1935,9501,60,145723392,1.68
64,4,0,0,0.000477030873298645,0.00047200219705700874,0.00048241629265248774,300,0.00047959781870359684,33489920,33489920,13952000,0.0968021628501382,3144,1.5078555420041084,201.84029008264588,1935,9501,60,291446784,1.67
64,8,0,0,0.00048008584417402744,0.00047608185559511185,0.00048640617169439795,300,0.000484061930191473,35906560,35906560,14148608,0.106559539053985,3124,1.5122094699181616,220.1361693778209,1935,9501,61,582893568,1.68
64,16,0,0,0.0004946074914187193,0.0004896689206361771,0.0005025951657444238,300,0.0004951085073327876,31712256,31712256,14541824,0.127759564643367,3032,1.5011689942330122,258.04356570567523,1935,9501,64,1165787136,1.68
64,32,0,0,0.0004923909436911345,0.0004856158047914505,0.0004967417102307081,300,0.0004961894044208629,23847936,23847936,15328256,0.15788936309726787,3046,1.5113929258659482,318.20381832125486,1920,9501,68,2331574272,1.68
64,64,0,0,0.0006811264902353287,0.0006475239060819149,0.000682632066309452,300,0.0006846690023458351,33678336,33678336,16901120,0.21826930063269986,2202,1.5076411431655288,318.7953593413146,1785,9501,68,4663148544,1.74
64,95,1,0,0.0009322916157543659,0.0008972450159490108,0.0009375684428960084,300,0.0009374993008246358,43590656,43590656,18424832,0.3026567164122762,1608,1.5074988757260144,322.8340716052328,1800,9501,68,6921861120,1.82
64,98,1,0,0.0009516431018710136,0.0009097279980778694,0.000957281282171607,300,0.0009551892278073025,44262400,44262400,18572288,0.30603807107521797,1576,1.5053782230243087,320.39522867918834,1785,9501,69,7140446208,1.82
64,128,0,0,0.0011584775056689978,0.0011094333603978157,0.001161071192473173,300,0.0011685032536415312,53601280,53601280,20046848,0.37004327665801395,1294,1.5120432102121413,316.6814260078512,1740,9501,69,9326297088,1.89
64,167,1,0,0.0014871556777507067,0.0014225882478058338,0.0014902560971677304,300,0.0014941717658768453,65741824,65741824,21963776,0.48260912698294434,1008,1.50612514000386,322.994409347394,1725,9501,69,12167903232,1.99
64,256,0,0,0.002075260505080223,0.0019313031807541847,0.0020773168187588455,300,0.002087762077542801,93447168,93447168,26338304,0.6683864265762868,722,1.5073642199859023,320.14492157216813,1650,9501,69,18652594176,2.18
112,1,1,0,0.0004148187581449747,0.00040874024853110313,0.00042857457883656026,300,0.00041850126735800135,14708736,14708736,13905920,0.07864242256825081,3616,1.513300582766533,187.91441914792864,1935,9501,63,222492672,1.66
112,2,1,0,0.0004290565848350525,0.00042487122118473053,0.00043590222485363485,300,0.00043110605339930993,15662080,15662080,14056448,0.0947937642989224,3496,1.5071467626839876,219.8850226097849,1935,9501,64,444985344,1.66
112,4,1,0,0.0004637851379811764,0.00045973388478159904,0.0004700592719018459,300,0.0004669107092416574,34706432,34706432,14357504,0.11569635126792728,3234,1.50998923368752,247.79117072692097,1935,9501,66,889970688,1.67
112,8,1,0,0.00046258000656962395,0.0004578349180519581,0.00046590720303356646,300,0.0004669844102801584,21439488,21439488,14959616,0.15307248612195898,3242,1.5139634581282735,327.78928536420744,1920,9501,70,1779941376,1.68
112,16,1,0,0.0005793748423457146,0.0005547567270696163,0.0005828621797263622,300,0.0005838919837255221,29008896,29008896,16163840,0.18654366306258133,2588,1.5111124538816512,319.4831719941413,1800,9501,71,3559882752,1.76
