S,B,is_validation,oom,latency_s,latency_min_s,latency_p90_s,latency_iters,latency_loop_s,memory_bytes,memory_bytes_warm,memory_base_bytes,energy_j,energy_iters,energy_window_s,mean_power_w,sm_clock_mhz,mem_clock_mhz,gpu_temp_c,flops_profiler,elapsed_s
384,4,0,0,0.0012050028890371323,0.0011716368608176708,0.0012068594805896282,300,,58582016,58582016,20833280,,,,,,,,,0.38
384,8,0,0,0.002185082295909524,0.0020899828523397446,0.002187522267922759,300,,103932928,103932928,28435456,,,,,,,,,0.69
384,16,0,0,0.004209426697343588,0.004203009884804487,0.004238227382302284,166,,194110464,194110464,43115520,,,,,,,,,0.76
384,32,0,0,0.008125707972794771,0.008120473008602858,0.00812958157621324,86,,372368384,372368384,70378496,,,,,,,,,0.81
384,64,0,0,0.01570530468598008,0.015699051786214113,0.01570997592061758,44,,730981376,730981376,127001600,,,,,,,,,0.9
384,95,1,0,0.022996313869953156,0.0229886332526803,0.02300164313055575,30,,1079436288,1079436288,181855232,,,,,,,,,0.99
384,98,1,0,0.023840509820729494,0.023834142368286848,0.023846574313938617,29,,1114760192,1114760192,187819008,,,,,,,,,1.01
384,128,0,0,0.031043141148984432,0.03081059968098998,0.031095980759710075,22,,1448207360,1448207360,240247808,,,,,,,,,1.09
384,167,1,0,0.04030580725520849,0.0402027009986341,0.0404007812961936,20,,1886512128,1886512128,309453824,,,,,,,,,1.34
384,256,0,1,,,,,,,,,,,,,,,,,0.0
400,1,1,0,0.0005135280080139637,0.0005044839344918728,0.0005390489008277654,300,,25915392,25915392,15675392,,,,,,,,,0.18
400,2,1,0,0.000847359886392951,0.000815155915915966,0.0008504629600793123,300,,38566912,38566912,17595392,,,,,,,,,0.27
400,4,1,0,0.0012715533375740051,0.001204818021506071,0.001274681370705366,300,,63378432,63378432,21435392,,,,,,,,,0.4
400,8,1,0,0.002301853382959962,0.002239085268229246,0.00230358736589551,300,,113001472,113001472,29115392,,,,,,,,,0.72
400,16,1,0,0.004532589111477137,0.004496976267546415,0.004537517204880714,155,,209052672,209052672,45212672,,,,,,,,,0.76
400,32,1,0,0.009070158004760742,0.009064143057912588,0.009088592696934938,77,,402875392,402875392,75195392,,,,,,,,,0.82
400,64,1,0,0.017058428842574358,0.017048961017280817,0.01706272503361106,41,,792847360,792847360,137487360,,,,,,,,,0.93
400,95,1,0,0.025961227249354124,0.02576978225260973,0.025970923993736506,27,,1169286144,1169286144,196207616,,,,,,,,,1.04
400,98,1,0,0.02587195858359337,0.025861576199531555,0.025988939963281155,27,,1206019072,1206019072,202499072,,,,,,,,,1.04
